steamId,name,genres,release_date,languages
271590,Grand Theft Auto V,"['Action', 'Adventure']",04-13-2015,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese', 'Japanese', 'Simplified Chinese', 'Spanish - Latin America']"
359550,Tom Clancy's Rainbow Six Siege,['Action'],12-01-2015,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese', 'Simplified Chinese', 'Turkish', 'Thai']"
49520,Borderlands 2,"['Action', 'RPG']",09-17-2012,"['English', 'French', 'German', 'Italian', 'Japanese', 'Spanish - Spain', 'Korean', 'Traditional Chinese']"
381210,Dead by Daylight,['Action'],06-14-2016,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese', 'Portuguese - Brazil', 'Thai', 'Traditional Chinese', 'Japanese', 'Korean', 'Polish', 'Dutch', 'Spanish - Latin America', 'Swedish', 'Turkish']"
44350,GRID 2,"['Racing', 'Sports']",05-27-2013,"['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Japanese', 'Polish', 'Portuguese - Brazil']"
292030,The Witcher 3: Wild Hunt,['RPG'],05-18-2015,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Czech', 'Hungarian', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese', 'Turkish', 'Simplified Chinese']"
227300,Euro Truck Simulator 2,"['Indie', 'Simulation']",10-12-2012,"['English', 'German', 'French', 'Italian', 'Korean', 'Spanish - Spain', 'Simplified Chinese', 'Russian', 'Japanese', 'Portuguese', 'Polish', 'Danish', 'Dutch', 'Finnish', 'Norwegian', 'Swedish', 'Hungarian', 'Czech', 'Romanian', 'Turkish', 'Portuguese - Brazil', 'Bulgarian', 'Greek', 'Ukrainian']"
203160,Tomb Raider,"['Action', 'Adventure']",03-04-2013,"['English', 'German', 'French', 'Italian', 'Korean', 'Spanish - Spain', 'Traditional Chinese', 'Russian', 'Polish', 'Dutch', 'Czech', 'Portuguese - Brazil', 'Arabic']"
278360,A Story About My Uncle,"['Adventure', 'Casual', 'Indie']",05-28-2014,"['English', 'French', 'Italian', 'German', 'Polish']"
582660,Black Desert Online,"['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy']",05-24-2017,"['English', 'French', 'German', 'Spanish - Spain']"
